actor,degree,betweenness,eigenvector,closeness,pagerank
Eshanya Maheshwari,0.04,0.0,0.002765889991834409,0.17058377558756635,0.0041177397580677575
Baburaj,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Motta Rajendran,0.04,0.0,0.002765889991834409,0.17058377558756635,0.0041177397580677575
Jinse Baskar,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Jeeva Rathnam,0.04,0.0,0.002765889991834409,0.17058377558756635,0.0041177397580677575
Sunil Annur,0.04,0.0,0.12676892773088927,0.24245689655172414,0.0038422671778438736
Rakul Preet Singh,0.04,0.0,0.017966055840992815,0.22211253701875616,0.003999425311311465
Sampath Raj,0.04,0.0,0.04489177745115449,0.24193548387096775,0.003917183384257014
Chali Pala,0.04,0.0,0.08581490389048088,0.23961661341853036,0.0039810410364147075
Rahul Karthik,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Krishna Kumar,0.04,0.0,0.11098338976921629,0.23219814241486067,0.0039033747358056953
Janardanan,0.04,0.0,0.11805526418231994,0.2767527675276753,0.003847994826066648
Monali Sehgal,0.04,0.0,0.007446091362324894,0.19599303135888502,0.003967190593579837
Senthil Krishna,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Sasha Gopinath,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Idoh,0.04,0.0,0.0009664654920917042,0.14920424403183025,0.004542238900865926
Lissy Antony,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Vinayakan,0.04,0.0,0.12676892773088927,0.24245689655172414,0.0038422671778438736
Gopalan,0.04,0.0,0.12676892773088927,0.24245689655172414,0.0038422671778438736
H.G. Dattatreya,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Arjun Nandakumar,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Sandhya Jagarlamudi,0.04,0.0,0.002765889991834409,0.17058377558756635,0.0041177397580677575
Gowri,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Gajaraj,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Grace Antony,0.04,0.0,0.08581490389048088,0.23961661341853036,0.0039810410364147075
Prinz Nithik,0.04,0.0,0.0009664654920917042,0.14920424403183025,0.004542238900865926
Nithya Menen,0.04,0.0,0.04489177745115449,0.24193548387096775,0.003917183384257014
Lydia,0.04,0.0,0.041957692935977724,0.20107238605898123,0.004033032271511682
Vijayaraghavan,0.04,0.0,0.079506535493057,0.22842639593908629,0.0038732485023384236
Seerat Kapoor,0.04,0.0,0.033233826179041144,0.24807056229327454,0.003922609152260221
Johnnie,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Joy Mathew,0.04,0.0,0.0767819481296624,0.20435967302452315,0.00394003175420026
Jayabalan,0.04,0.0,0.002765889991834409,0.17058377558756635,0.0041177397580677575
Prayaga Martin,0.04,0.0,0.0767819481296624,0.20435967302452315,0.00394003175420026
Vineeth Thattil David,0.04,0.0,0.11805526418231994,0.2767527675276753,0.003847994826066648
Anoop Chandran,0.04,0.0,0.11098338976921629,0.23219814241486067,0.0039033747358056953
Pooja Batra,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Mallika Sukumaran,0.04,0.0,0.0767819481296624,0.20435967302452315,0.00394003175420026
Molly Kannamaly,0.04,0.0,0.04489177745115449,0.24193548387096775,0.003917183384257014
Lollu Sabha Manohar,0.04,0.0,0.002513015647127306,0.16605166051660517,0.004170475250850136
Suraj Philip Jacob,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
Rajendra Karanth,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Raveena Daha,0.04,0.0,0.002765889991834409,0.17058377558756635,0.0041177397580677575
Akhila Anoki,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Fahadh Faasil,0.04,0.0,0.079506535493057,0.22842639593908629,0.0038732485023384236
Praveena,0.04,0.0,0.079506535493057,0.22842639593908629,0.0038732485023384236
Miya George,0.04,0.0,0.016574658699687838,0.20107238605898123,0.004047364906098654
Lalu Alex,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Ramesh Aravind,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Alexander Prasanth,0.04,0.0,0.014140527957485707,0.16968325791855204,0.004186948377714722
Aparna,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
Sudheer Karamana,0.04,0.0,0.04489177745115449,0.24193548387096775,0.003917183384257014
Mahesh Kumar Longa,0.04,0.0,0.011695313514817278,0.18703241895261846,0.004255470413835625
Irshad,0.04,0.0,0.07238795800893313,0.21347248576850095,0.004091492427010863
Allari Naresh,0.04,1.948696145124716e-05,0.04165763886801767,0.2356020942408377,0.003953548014527683
Mammootty,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Shafeer Khan,0.04,0.0,0.11098338976921629,0.23219814241486067,0.0039033747358056953
Mohanlal,0.04,0.0,0.11098338976921629,0.23219814241486067,0.0039033747358056953
Sreekanth Murali,0.04,0.0,0.039227630225584384,0.19946808510638298,0.004121386029596139
Resmi Boban,0.04,0.0,0.005587155580724591,0.16968325791855204,0.004191666240862134
Nithin George,0.04,0.0,0.12676892773088927,0.24245689655172414,0.0038422671778438736
Veera Ravi Kumar Yalla,0.04,0.0,0.017966055840992815,0.22211253701875616,0.003999425311311465
Shruti,0.035555555555555556,3.3068783068783066e-06,0.03470027886914281,0.22590361445783133,0.0038794319137919614
Adi Lokesh,0.035555555555555556,3.3068783068783066e-06,0.0347002788691428,0.22590361445783133,0.0038794319137919614
P. Ravi Shankar,0.035555555555555556,3.3068783068783066e-06,0.0347002788691428,0.22590361445783133,0.0038794319137919614
Petrol Prasanna,0.035555555555555556,3.3068783068783066e-06,0.03470027886914281,0.22590361445783133,0.0038794319137919614
Sanjjanaa Galrani,0.035555555555555556,3.3068783068783066e-06,0.0347002788691428,0.22590361445783133,0.0038794319137919614
Praveen Viswanath,0.026666666666666665,0.0,0.04944329515649855,0.20125223613595708,0.0030279365972695023
Naveen Vadde,0.026666666666666665,1.948696145124716e-05,0.044184459477841734,0.2764127764127764,0.002806313175740739
Aditi Ravi,0.026666666666666665,0.0,0.04944329515649855,0.20125223613595708,0.0030279365972695023
Ravi Venkatraman,0.026666666666666665,0.0,0.015427520991873563,0.24644030668127054,0.003224954961155784
Shaam,0.026666666666666665,0.0,0.015427520991873563,0.24644030668127054,0.003224954961155784
Narsing Yadav,0.026666666666666665,1.948696145124716e-05,0.044184459477841734,0.2764127764127764,0.002806313175740739
Archana Shastry,0.026666666666666665,0.0,0.015427520991873563,0.24644030668127054,0.003224954961155784
Anjathe Sridhar,0.026666666666666665,0.0,0.015427520991873563,0.24644030668127054,0.003224954961155784
K.P.A.C. Lalitha,0.026666666666666665,0.0,0.04944329515649855,0.20125223613595708,0.0030279365972695023
Sandra Amy,0.026666666666666665,0.0,0.015427520991873563,0.24644030668127054,0.003224954961155784
Manoj K. Jayan,0.026666666666666665,0.0,0.04944329515649855,0.20125223613595708,0.0030279365972695023
Gaurav Ravindran,0.022222222222222223,0.0,0.020055534516987144,0.20035618878005343,0.0032573788452401587
Sonith Chandran,0.022222222222222223,0.0,0.020055534516987144,0.20035618878005343,0.0032573788452401587
Bhupendra Khurana,0.022222222222222223,0.0,0.020055534516987144,0.20035618878005343,0.0032573788452401587
